Label,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
23,907.0,604.0,564.0,540.0,507.0,481.0,466.0,455.0,445.0,446.0,440.0,432.0,408.0,376.0,323.0,267.0,187.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,903.0,597.0,551.0,518.0,478.0,452.0,426.0,416.0,400.0,385.0,364.0,326.0,270.0,195.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1000.0,664.0,603.0,567.0,552.0,555.0,571.0,586.0,624.0,666.0,721.0,786.0,844.0,924.0,999.0,1088.0,1162.0,1220.0,1277.0,1318.0,1355.0,1380.0,1401.0,1407.0,1411.0,1412.0,1414.0,1412.0,1407.0,1406.0,1405.0,1392.0,1380.0,1367.0,1336.0,1319.0,1291.0,1258.0,1227.0,1195.0,1168.0,1136.0,1104.0,1056.0,1016.0,978.0,938.0,896.0,846.0,802.0,748.0
26,969.0,612.0,526.0,454.0,394.0,336.0,276.0,201.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,1025.0,695.0,615.0,567.0,532.0,500.0,473.0,447.0,429.0,409.0,380.0,328.0,264.0,180.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,964.0,607.0,519.0,443.0,373.0,308.0,237.0,148.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,1046.0,698.0,636.0,599.0,585.0,586.0,588.0,619.0,656.0,714.0,760.0,824.0,895.0,968.0,1050.0,1143.0,1231.0,1301.0,1353.0,1404.0,1448.0,1477.0,1489.0,1494.0,1494.0,1488.0,1476.0,1461.0,1440.0,1423.0,1400.0,1374.0,1344.0,1314.0,1280.0,1245.0,1190.0,1140.0,1095.0,1048.0,978.0,918.0,855.0,779.0,709.0,618.0,533.0,435.0,321.0,192.0,34.0
61,956.0,614.0,539.0,485.0,452.0,425.0,401.0,381.0,365.0,353.0,340.0,311.0,256.0,192.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,1045.0,695.0,630.0,587.0,572.0,570.0,578.0,604.0,637.0,688.0,758.0,823.0,894.0,973.0,1048.0,1153.0,1241.0,1322.0,1400.0,1464.0,1520.0,1574.0,1612.0,1636.0,1654.0,1660.0,1674.0,1677.0,1679.0,1683.0,1685.0,1686.0,1683.0,1681.0,1676.0,1671.0,1666.0,1656.0,1643.0,1633.0,1622.0,1615.0,1602.0,1593.0,1579.0,1569.0,1561.0,1552.0,1544.0,1542.0,1537.0
88,1043.0,693.0,619.0,561.0,525.0,495.0,476.0,450.0,436.0,427.0,412.0,382.0,330.0,273.0,190.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,1032.0,699.0,641.0,603.0,590.0,588.0,606.0,633.0,667.0,734.0,795.0,871.0,936.0,1013.0,1090.0,1168.0,1254.0,1323.0,1385.0,1446.0,1495.0,1527.0,1548.0,1569.0,1579.0,1586.0,1589.0,1591.0,1589.0,1593.0,1593.0,1584.0,1571.0,1556.0,1533.0,1519.0,1497.0,1471.0,1448.0,1420.0,1381.0,1351.0,1316.0,1290.0,1253.0,1213.0,1178.0,1141.0,1096.0,1057.0,1013.0
111,887.0,546.0,476.0,423.0,389.0,352.0,299.0,231.0,152.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,1042.0,683.0,613.0,565.0,521.0,487.0,455.0,431.0,391.0,357.0,311.0,252.0,158.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,1042.0,700.0,632.0,585.0,552.0,538.0,526.0,520.0,530.0,550.0,574.0,578.0,574.0,555.0,535.0,503.0,470.0,414.0,341.0,245.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,954.0,611.0,525.0,456.0,393.0,329.0,261.0,178.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,1045.0,713.0,663.0,630.0,624.0,633.0,650.0,684.0,722.0,779.0,859.0,931.0,1012.0,1098.0,1185.0,1284.0,1380.0,1477.0,1561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,862.0,578.0,530.0,502.0,484.0,474.0,474.0,482.0,496.0,532.0,572.0,606.0,631.0,660.0,688.0,717.0,747.0,774.0,795.0,2532.0,2810.0,3021.0,3203.0,3364.0,3492.0,3654.0,3786.0,3924.0,4070.0,4218.0,4359.0,4500.0,4611.0,4769.0,4888.0,5039.0,5166.0,5320.0,5462.0,5608.0,5787.0,5937.0,6125.0,6294.0,6499.0,6691.0,6905.0,7141.0,7370.0,7613.0,7825.0
171,1045.0,698.0,638.0,594.0,578.0,570.0,568.0,583.0,612.0,639.0,671.0,702.0,737.0,771.0,802.0,831.0,846.0,857.0,857.0,851.0,827.0,793.0,737.0,677.0,606.0,520.0,418.0,301.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,966.0,620.0,541.0,478.0,426.0,376.0,318.0,264.0,191.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
