Image,A,B,Ap,An,Bn,A1,A2,Volume
pf_A_1.2_A2_1.0_R_0.0.vti,1.21,1.0,1.21,1.2,1.0,1.2,1.0,6325.0
pf_A_1.2_A2_1.0_R_0.25.vti,1.22,1.0,1.22,1.22,1.0,1.2,1.0,5759.0
pf_A_1.2_A2_1.0_R_0.5.vti,1.19,1.0,1.19,1.22,1.0,1.2,1.0,5695.0
pf_A_1.2_A2_1.0_R_0.75.vti,1.11,1.0,1.11,1.25,1.0,1.2,1.0,5637.0
pf_A_1.2_A2_1.0_R_1.0.vti,1.05,1.0,1.05,1.25,1.0,1.2,1.0,5645.0
pf_A_1.2_A2_1.25_R_0.0.vti,1.24,1.2,1.13,1.3,1.3,1.2,1.25,6299.0
pf_A_1.2_A2_1.25_R_0.25.vti,1.26,1.23,1.13,1.2,1.2,1.2,1.25,5711.0
pf_A_1.2_A2_1.25_R_0.5.vti,1.24,1.18,1.14,1.33,1.33,1.2,1.25,5715.0
pf_A_1.2_A2_1.25_R_0.75.vti,1.25,1.11,1.19,1.22,1.22,1.2,1.25,5743.0
pf_A_1.2_A2_1.25_R_1.0.vti,1.25,1.0,1.25,1.11,1.25,1.2,1.25,5695.0
pf_A_1.2_A2_1.5_R_0.0.vti,1.49,1.2,1.36,1.18,1.44,1.2,1.5,6235.0
pf_A_1.2_A2_1.5_R_0.25.vti,1.49,1.21,1.36,1.3,1.62,1.2,1.5,5703.0
pf_A_1.2_A2_1.5_R_0.5.vti,1.49,1.17,1.37,1.2,1.5,1.2,1.5,5693.0
pf_A_1.2_A2_1.5_R_0.75.vti,1.49,1.13,1.4,1.2,1.5,1.2,1.5,5653.0
pf_A_1.2_A2_1.5_R_1.0.vti,1.51,1.08,1.46,1.22,1.57,1.2,1.5,5491.0
pf_A_1.44_A2_1.0_R_0.0.vti,1.45,1.0,1.45,1.62,1.0,1.44,1.0,6305.0
pf_A_1.44_A2_1.0_R_0.25.vti,1.47,1.0,1.47,1.5,1.0,1.44,1.0,5785.0
pf_A_1.44_A2_1.0_R_0.5.vti,1.43,1.0,1.43,1.38,1.0,1.44,1.0,5685.0
pf_A_1.44_A2_1.0_R_0.75.vti,1.35,1.0,1.35,1.57,1.0,1.44,1.0,5711.0
pf_A_1.44_A2_1.0_R_1.0.vti,1.26,1.0,1.26,1.43,1.0,1.44,1.0,5595.0
pf_A_1.44_A2_1.25_R_0.0.vti,1.44,1.25,1.29,1.44,1.18,1.44,1.25,6227.0
pf_A_1.44_A2_1.25_R_0.25.vti,1.47,1.24,1.32,1.62,1.3,1.44,1.25,5743.0
pf_A_1.44_A2_1.25_R_0.5.vti,1.4,1.26,1.25,1.5,1.2,1.44,1.25,5707.0
pf_A_1.44_A2_1.25_R_0.75.vti,1.31,1.25,1.18,1.5,1.33,1.44,1.25,5655.0
pf_A_1.44_A2_1.25_R_1.0.vti,1.23,1.19,1.13,1.38,1.22,1.44,1.25,5773.0
pf_A_1.44_A2_1.5_R_0.0.vti,1.5,1.45,1.25,1.4,1.56,1.44,1.5,6187.0
pf_A_1.44_A2_1.5_R_0.25.vti,1.49,1.45,1.23,1.56,1.56,1.44,1.5,5695.0
pf_A_1.44_A2_1.5_R_0.5.vti,1.52,1.41,1.28,1.44,1.44,1.44,1.5,5661.0
pf_A_1.44_A2_1.5_R_0.75.vti,1.5,1.35,1.29,1.5,1.5,1.44,1.5,5661.0
pf_A_1.44_A2_1.5_R_1.0.vti,1.49,1.28,1.32,1.5,1.5,1.44,1.5,5585.0
pf_A_1.73_A2_1.0_R_0.0.vti,1.74,1.0,1.74,1.86,1.0,1.73,1.0,6255.0
pf_A_1.73_A2_1.0_R_0.25.vti,1.75,1.0,1.75,1.86,1.0,1.73,1.0,5767.0
pf_A_1.73_A2_1.0_R_0.5.vti,1.72,1.0,1.72,1.71,1.0,1.73,1.0,5687.0
pf_A_1.73_A2_1.0_R_0.75.vti,1.6,1.0,1.6,2.0,1.0,1.73,1.0,5545.0
pf_A_1.73_A2_1.0_R_1.0.vti,1.56,1.0,1.56,1.83,1.0,1.73,1.0,5561.0
pf_A_1.73_A2_1.25_R_0.0.vti,1.72,1.25,1.53,1.75,1.27,1.73,1.25,6187.0
pf_A_1.73_A2_1.25_R_0.25.vti,1.77,1.23,1.59,2.0,1.27,1.73,1.25,5701.0
pf_A_1.73_A2_1.25_R_0.5.vti,1.69,1.25,1.51,1.86,1.3,1.73,1.25,5673.0
pf_A_1.73_A2_1.25_R_0.75.vti,1.58,1.23,1.42,1.71,1.2,1.73,1.25,5671.0
pf_A_1.73_A2_1.25_R_1.0.vti,1.44,1.27,1.28,1.71,1.33,1.73,1.25,5721.0
pf_A_1.73_A2_1.5_R_0.0.vti,1.74,1.49,1.43,1.67,1.5,1.73,1.5,6141.0
pf_A_1.73_A2_1.5_R_0.25.vti,1.73,1.5,1.42,1.75,1.56,1.73,1.5,5711.0
pf_A_1.73_A2_1.5_R_0.5.vti,1.69,1.49,1.39,1.75,1.56,1.73,1.5,5659.0
